epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7344,1.39118,3.13738,1.53194,0.0054,0.91655,0.28849,0.16376,1.25108,3.46076,1.41411,0.000361075,0.000361075,0.000361075
2,21.6884,1.28464,1.93524,1.40113,0.69168,0.3545,0.561,0.34475,1.33241,2.70362,1.4581,0.000658999,0.000658999,0.000658999
3,31.5823,1.28035,1.74073,1.36584,0.62411,0.70737,0.76857,0.47573,1.33372,1.80664,1.45947,0.000883597,0.000883597,0.000883597
4,42.4936,1.22099,1.61234,1.34458,0.76141,0.63202,0.76187,0.45632,1.37489,1.83376,1.45652,0.000781033,0.000781033,0.000781033
5,53.3632,1.22855,1.48655,1.30431,0.63956,0.79303,0.79738,0.47708,1.34993,1.69117,1.40446,0.000671044,0.000671044,0.000671044
6,64.1921,1.17202,1.37165,1.28272,0.84982,0.74822,0.84559,0.52534,1.32784,1.47658,1.36889,0.000561055,0.000561055,0.000561055
7,75.3797,1.12607,1.23637,1.23535,0.7746,0.8529,0.86374,0.54396,1.28227,1.30373,1.32801,0.000451066,0.000451066,0.000451066
8,85.9985,1.0901,1.13484,1.2101,0.87321,0.80565,0.86894,0.57081,1.22384,1.18105,1.28664,0.000341077,0.000341077,0.000341077
9,96.374,1.04124,1.0542,1.17085,0.90936,0.82176,0.89324,0.59117,1.20471,1.11257,1.27635,0.000231088,0.000231088,0.000231088
10,107.056,1.01001,1.01222,1.16731,0.90728,0.85408,0.90462,0.6065,1.19791,1.06739,1.2571,0.000121099,0.000121099,0.000121099
